번호,사업명_국문,사업명_영문,시작연도,종료연도,예산총액_원화,예산총액_미화,국가명,지역,수행기관,담당부서,시행계획번호,사업번호,사업단계
1,우간다 라이노 및 임베피 난민 정착촌 교육 환경에서의 WASH 개선 사업('21-'24/68.5만불),"WASH in School Project in Rhino and Imvepi Refugee Settlement, Northwestern Uganda",2021,2024,830000000 ,685950 ,우간다,아프리카,사단법인 팀앤팀,분쟁취약지원팀,B260003_2019_558,2021-02858,사업완료
2,우간다 북부 팔로리냐 남수단 난민 정착촌 WASH 및 보건 위생환경 개선사업('22-'24/82.3만불),"Project for improving the WASH and Public Health Condition for the Refugees of South Sudan in Palorinya Settlement, Uganda",2022,2024,930000000 ,823009 ,우간다,아프리카,더멋진세상,분쟁취약지원팀,B260003_2019_558,2022-01169,사업완료
3,우간다 차카II 난민정착촌 내 젠더기반폭력 위험 경감 및 난민 여성 역량 강화 사업('22-'24/91.1만불),"Gender-Based Violence(GBV) risk mitigation and empowerment of DRC refugee women in Kyaka II refugee settlement, Uganda",2022,2024,1029632814 ,911179 ,우간다,아프리카,굿네이버스,분쟁취약지원팀,B260003_2019_558,2022-01170,사업완료
4,방글라데시 로힝야 난민 수용 공동체 여성 심리사회적 회복역량강화 사업 5단계('22-'24/47.7만불),"Psychosocial Support Project for Rohingya Women; Resilience Building, Phase 5",2022,2024,540000000 ,477876 ,방글라데시,아시아/태평양,아디,분쟁취약지원팀,B260003_2019_558,2022-01171,사업완료
5,케냐 칼로베예이 정착촌 난민 및 수용공동체의 통합적 가뭄 대응 역량 강화 사업('22-'24/100만불),Kenya Kalobeyei Integrated Drought Response and Management Project (K-DREAM Project),2022,2024,1130000000 ,1000000 ,케냐,아프리카,월드비전,분쟁취약지원팀,B260003_2019_558,2022-01172,사업완료
6,2023-2024 튀르키예 임시 정착촌 조성 및 이재민 지원 사업,Building and operation of temprorary settlement for erthquake affected people,2023,2024,10483000000 ,8126357 ,튀르키예,중동중앙아,"세이브더칠드런 코리아, 굿네이버스, 기아대책기구",분쟁취약지원팀,B260003_2019_559,2023-02186,사업완료
7,2024 앙골라 남서부지역 엘니뇨 기반 식량위기 대응 식량 바우처 지원 사업,South West Angola El-Nino Induced Emergency Food Voucher Program,2024,2024,200000000 ,153846 ,앙골라,아프리카,월드비전,분쟁취약지원팀,B260003_2019_558,2024-03356,사업완료
8,2024 마다가스카르 남부지역 기근 대응 긴급구호 사업,Emergency Relief in Southern Madagascar,2024,2024,200000000 ,153846 ,마다가스카르,아프리카,기아대책기구,분쟁취약지원팀,B260003_2019_558,2024-03358,사업완료
9,2024 부르키나파소 북부 누르드 지역 분쟁으로 인한 춘궁기 식량위기 대응 사업,"Lean Season and Conflict-induced Food Security and Livelihood Response in the Nord region, Burkina Faso",2024,2024,200000000 ,153846 ,부르키나파소,아프리카,세이브더칠드런,분쟁취약지원팀,B260003_2019_558,2024-03355,사업완료
10,"2024 말라위 시콰와, 발라카 군 기후변화로 인한 급성식량위기 긴급구호 사업","Strengthening Food Security and Resilience to Climate Induced Food Insecurity in Chikwawa and Balaka Districts, Malawi",2024,2024,200000000 ,153846 ,말라위,아프리카,굿네이버스,분쟁취약지원팀,B260003_2019_558,2024-03353,사업완료
11,2024 잠비아 루사카 및 중부 주 식량위기 대응 영양지원 긴급구호사업,Emergency Nutrition Response Project (ENRP) ,2024,2024,200000000 ,153846 ,잠비아,아프리카,어린이재단,분쟁취약지원팀,B260003_2019_558,2024-03357,사업완료
12,미얀마 카친주 내전 피해 실향민 및 호스트커뮤니티 청년 심리사회적 역량 강화 사업,"Building psychosocial resilience for youth from internally displaced people(IDP) camps and host communities in Kachin State, Myanmar ('25-'26)",2025,2026,600000000 ,434783 ,미얀마,아시아/태평양,밀알복지재단,분쟁취약지원팀,B260003_2019_558,2025-01476,사업진행중
13,에티오피아 아셀라 지역사회기반 청년주도 평화구축 사업,"Project for the Community-based Youth-led Peacebuilding in Asella, Ethiopia",2025,2026,200000000 ,144928 ,에티오피아,아프리카,굿피플인터내셔널,분쟁취약지원팀,B260003_2019_558,2025-01483,사업진행중
14,말라위 잘레카 난민 캠프 생계활동을 통한 식량 위기 대응 및 공동체 강화사업,"Project for Food Crisis Response and Community Strengthening through Livelihood Support in Dzaleka Refugee Camp, Malaw",2025,2027,1500000000 ,1086957 ,말라위,아프리카,굿네이버스,분쟁취약지원팀,B260003_2019_558,2025-01484,사업진행중
15,마다가스카르 남부지역 기후 이주민을 위한 회복력 강화 사업,Resilience Enhancement Project for Climate Migrants in Southern Madagascar('25-'27),2025,2027,1370194650 ,992895 ,마다가스카르,아프리카,한국기아대책기구,분쟁취약지원팀,B260003_2019_558,2025-01473,사업진행중
16,케냐 칼로베예이 정착촌 난민 및 수용공동체의 평화 기반 사회경제적 회복력 강화 사업,"Integrated Drought Response and Socio-economic Resilience Management underlying Peace in Kalobeyei, Kenya (DREAM UP) Project('25-'27)",2025,2027,1500000000 ,1086957 ,케냐,아프리카,월드비전,분쟁취약지원팀,B260003_2019_558,2025-01472,사업진행중
17,부르키나파소 노르 지역 분쟁 취약 인구 및 지역사회 회복력 강화를 위한 HDP-N 사업,HDP-N Project for Enhancing the Resilience of Conflict-Vulnerable Populations and Communities in the Nord Region of Burkina Faso('25-'27),2025,2027,1500000000 ,1086957 ,부르키나파소,아프리카,세이브더칠드런코리아,분쟁취약지원팀,B260003_2019_558,2025-01471,사업진행중
18,"우간다 오봉기 구 팔로잉야 난민 정착촌 및 수용공동체 주민들의 교육, 보호, 생계 통합적 지원을 통한 회복력 증진 사업","The Resilience enhancement project through integrated support for education, protection and livelihood of the Palorinya Refugee Settlement and Host Community in Obongi District, Uganda",2025,2027,2079500000 ,1506884 ,우간다,아프리카,초록우산 어린이재단,분쟁취약지원팀,B260003_2019_558,2025-02081,사업진행중
19,"짐바브웨 치레드지 지역 엘니뇨로 인한 식량위기 대응 및 기후스마트농업, 사회통합을 통한 회복력 증진 사업","Response to Food Crisis Caused by El Nio and Promotion of Climate-Smart Agriculture and Social Integration for Resilience Enhancement in Chiredzi District, Zimbabwe",2025,2027,1500000000 ,1086957 ,짐바브웨,아프리카,플랜한국위원회,분쟁취약지원팀,B260003_2019_558,2025-01558,사업진행중
20,"2025 요르단 제라시캠프 팔레스타인 난민 대상 중동 분쟁 대응 WASH, 생계지원사업","Jordan's Gerash Camp Responding to Middle East Conflict for Palestinian Refugees, WASH, Livelihood Support Project",2025,2025,400000000 ,289855 ,요르단,중동중앙아,굿네이버스,분쟁취약지원팀,B260003_2019_558,2025-02073,사업진행중
21,2025 레바논 중부 분쟁 피해 IDPs 및 시리아 난민 대상 다목적 바우처 카드 지원 사업,Multi-Purpose Voucher Card Assistance for Conflict-Affected IDPs and Syrian Refugees in Central Lebanon,2025,2025,400000000 ,289855 ,레바논,중동중앙아,한국기아대책기구,분쟁취약지원팀,B260003_2019_558,2025-02074,사업완료
22,2025 레바논 남부 분쟁 피해 가구 생계 지원 및 아동보호를 통한 회복력 강화 사업 ,Enhancing Household Resilience in South Lebanon: Targeted Cash Assistance & Child Protection Services,2025,2025,400000000 ,289855 ,레바논,중동중앙아,세이브더칠드런,분쟁취약지원팀,B260003_2019_558,2025-02076,사업완료
23,2025 레바논 남부 분쟁취약지역 다목적현금지원사업,Emergency Multi-Purpose Cash Assistance for Conflict-Affected Families in South Lebanon,2025,2025,400000000 ,289855 ,레바논,중동중앙아,월드비전,분쟁취약지원팀,B260003_2019_558,2025-02080,사업완료
24,2025 팔레스타인 가자지구 전쟁피해 대응 식수위생 긴급구호사업,Emergency WASH response to support displaced populations in the Gaza Strip,2025,2025,400000000 ,289855 ,팔레스타인,중동중앙아,어린이재단,분쟁취약지원팀,B260003_2019_558,2025-02079,사업완료
25,"2025 미얀마 신빵웨, 코핀 지역 긴급식량지원 사업","2025 Emergency Food Assistance Project in Sinbaungwe and Koepin, Myanmar",2025,2025,200000000 ,144928 ,미얀마,아시아/태평양,굿네이버스,분쟁취약지원팀,B260003_2019_558,2025-03341,사업진행중
26,"미얀마 식량 위기 대응 만달레이 주, 샨 주 식량 및 비식량 지원 사업","Food and Non-Food Assistance for the Food Crisis Response in Mandalay and Shan States, Myanmar",2025,2025,200000000 ,144928 ,미얀마,아시아/태평양,한국국제기아대책기구,분쟁취약지원팀,B260003_2019_558,2025-03342,사업진행중
27,미얀마 마궤주 국내 실향 아동 및 가족을 위한 긴급 식량위기 대응 사업,"Emergency cash for food for internally displaced children and families in Magway, Myanmar",2025,2025,200000000 ,144928 ,미얀마,아시아/태평양,세이브더칠드런코리아,분쟁취약지원팀,B260003_2019_558,2025-03343,사업진행중
28,2025 미얀마 북부 식량위기지역 IDP 및 수용 공동체 대상 현금기반지원 사업,2025 Cash-Based Assistance for IDPs and Host Communities in Food Crisis-Affected Areas of Northern Myanmar,2025,2025,250000000 ,181159 ,미얀마,아시아/태평양,월드비전,분쟁취약지원팀,B260003_2019_558,2025-03344,사업진행중
29,방글라데시 바르구나 지역 사이클론 대비 및 포용적 쉘터 기반 재난 회복력 강화 사업,Bangladesh Cyclone Preparedness and Inclusive Shelter Resilience Project in Barguna District,2026,2028,900000000 ,652174 ,방글라데시,아시아/태평양,옥스팜,분쟁취약지원팀,B260003_2019_558,2026-02017,사업진행중
30,태국-미얀마 국경 지역 옹피앙 난민캠프 내 난민 대상 사회경제적 자립 지원 사업,The Project to support Socioeconomic Self-reliance for Refugees in the Umpiem Camp on the Thai-Myanmar Boarder Area,2026,2028,593804000 ,430293 ,태국,아시아/태평양,지구촌나눔운동,분쟁취약지원팀,B260003_2019_558,2026-02015,사업진행중
31,케냐 마사빗주 기후 이주민 식량위기 대응 및 회복력 강화사업,"Response to Food Security and Resilience Building for Climate Migrants in Marsabit County, Kenya",2026,2028,900000000 ,652174 ,케냐,아프리카,밀알복지재단,분쟁취약지원팀,B260003_2019_558,2026-02020,사업착수이전
