보고 연도,기관명,프로젝트 번호,보고기관명,사업명(한글),사업명(영문),사업설명(한글),사업설명(영문),정부부처,시행기관,사업단계,사업착수계획년월,사업완료계획년월,사업착수실제일자,사업완료실제일자,기관 대표 연락처,사업지역,수원국,수원지역,도시명,사업분야명,성평등,환경지원,민주적-포용적 거버넌스,무역개발,모자보건증진,재난위험경감,장애인권리,영양,생물의다양성,기후변화완화,기후변화적응,사막화방지,양자-다자간 원조 구분,자금 구분,자금형태,원조유형,예산시작일자,예산종료일자,예산금액(원화),집행시작예정일,집행종료예정일,집행예정액(원화),총사업비(원화),약정액(원화),지출액(원화),회수액(원화),약정일
2025,한국국제협력단(KOICA),KR-GOV-051-2019010100043,Korean International Cooperation Agency,피지 기후변화 대응 보건역량 강화사업(WHO)('19-'26/641만불),Strengthening Health Adaptation Project : Responding to Climate Change in Fiji (SHAPE),"기후변화와 보건분야의 인력, 진단 및 관련 시설 강화, 기후변화보건분야 감시체계 강화, 기후변화보건에 대한 거버넌스와 지역사회 대응역량 강화","Strengthened capacity of health workforce, laboratory capacity, and facilities in providing health, Improved capacity in surveillance and health information management to detect and respond to climate-sensitive health risks, Enhanced governance and community empowerment to adapt to the health impacts of climate change",외교부,한국국제협력단(KOICA),사업착수,2019-01-01,2026-12-31,2019-01-01,,-1940,단일 국가(National),피지,오세아니아 > 멜라네시아,수바,보건정책 및 행정관리,해당사항 없음,관련내용이 부수적(2차적) 목적인 경우,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",프로젝트 원조,2025-01-01,2025-12-31,7100000000,2025-01-01,2025-12-31,6756584029,7248000000,0,343415971,0,2019-01-01
2025,한국국제협력단(KOICA),KR-GOV-051-2019090105262,Korean International Cooperation Agency,(키리바시) UNDP 태평양도서국 개발프로젝트 내 기후변화 적응 및 젠더 주류화 사업('19-'24/750만불),(Kiribati) UNDP Governance for Resilient Development in the Pacific Project,"개발사업의 기후변화 및 양성평등 주류화, 위험을 고려한 개발 추진, 기후펀드 접근성 제고",Mainstreaming of climate change and gender into development projects. Improvement in climate adaptive capacity and resilience through development. Increase in capacity and behaviour change to support risk informed development decision making. Improvements in access to climate funds.,외교부,한국국제협력단(KOICA),사업착수,2019-12-24,2026-12-31,2019-12-24,,-1940,단일 국가(National),키리바시,오세아니아 > 미크로네시아,사우스타라와,환경정책 및 행정관리,관련내용이 주요(1차적) 목적인 경우,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",프로젝트 원조,2025-01-01,2025-12-31,2153000000,2025-01-01,2025-12-31,2153000000,1512500000,0,0,0,2019-12-24
2025,한국국제협력단(KOICA),KR-GOV-051-2019090105264,Korean International Cooperation Agency,(마샬군도) UNDP 태평양도서국 개발프로젝트 내 기후변화 적응 및 젠더 주류화 사업('19-'24/750만불),(Marshall Is.) UNDP Governance for Resilient Development in the Pacific Project,"개발사업의 기후변화 및 양성평등 주류화, 위험을 고려한 개발 추진, 기후펀드 접근성 제고",Mainstreaming of climate change and gender into development projects. Improvement in climate adaptive capacity and resilience through development. Increase in capacity and behaviour change to support risk informed development decision making. Improvements in access to climate funds.,외교부,한국국제협력단(KOICA),사업착수,2019-12-24,2026-12-31,2019-12-24,,-1940,단일 국가(National),마셜제도,오세아니아 > 미크로네시아,마주로,환경정책 및 행정관리,관련내용이 주요(1차적) 목적인 경우,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",프로젝트 원조,2025-01-01,2025-12-31,2012000000,2025-01-01,2025-12-31,2012000000,1512500000,0,0,0,2019-12-24
2025,한국국제협력단(KOICA),KR-GOV-051-2019090105266,Korean International Cooperation Agency,(솔로몬군도) UNDP 태평양도서국 개발프로젝트 내 기후변화 적응 및 젠더 주류화 사업('19-'24/750만불),(Solomon Is.) UNDP Governance for Resilient Development in the Pacific Project,"개발사업의 기후변화 및 양성평등 주류화, 위험을 고려한 개발 추진, 기후펀드 접근성 제고",Mainstreaming of climate change and gender into development projects. Improvement in climate adaptive capacity and resilience through development. Increase in capacity and behaviour change to support risk informed development decision making. Improvements in access to climate funds.,외교부,한국국제협력단(KOICA),사업착수,2019-12-24,2026-12-31,2019-12-24,,-1940,단일 국가(National),솔로몬제도,오세아니아 > 멜라네시아,호니아라,환경정책 및 행정관리,관련내용이 주요(1차적) 목적인 경우,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",프로젝트 원조,2025-01-01,2025-12-31,2153000000,2025-01-01,2025-12-31,2153000000,1512500000,0,0,0,2019-12-24
2025,한국국제협력단(KOICA),KR-GOV-051-2019090105268,Korean International Cooperation Agency,(투발루) UNDP 태평양도서국 개발프로젝트 내 기후변화 적응 및 젠더 주류화 사업('19-'24/750만불),(Tuvalu) UNDP Governance for Resilient Development in the Pacific Project,"개발사업의 기후변화 및 양성평등 주류화, 위험을 고려한 개발 추진, 기후펀드 접근성 제고",Mainstreaming of climate change and gender into development projects. Improvement in climate adaptive capacity and resilience through development. Increase in capacity and behaviour change to support risk informed development decision making. Improvements in access to climate funds.,외교부,한국국제협력단(KOICA),사업착수,2019-12-24,2026-12-31,2019-12-24,,-1940,단일 국가(National),투발루,오세아니아 > 폴리네시아,푸나푸티,환경정책 및 행정관리,관련내용이 주요(1차적) 목적인 경우,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",프로젝트 원조,2025-01-01,2025-12-31,2153000000,2025-01-01,2025-12-31,2153000000,1512500000,0,0,0,2019-12-24
2025,한국국제협력단(KOICA),KR-GOV-051-2019090105270,Korean International Cooperation Agency,(바누아투) UNDP 태평양도서국 개발프로젝트 내 기후변화 적응 및 젠더 주류화 사업('19-'24/750만불),(Vanuatu) UNDP Governance for Resilient Development in the Pacific Project,"개발사업의 기후변화 및 양성평등 주류화, 위험을 고려한 개발 추진, 기후펀드 접근성 제고",Mainstreaming of climate change and gender into development projects. Improvement in climate adaptive capacity and resilience through development. Increase in capacity and behaviour change to support risk informed development decision making. Improvements in access to climate funds.,외교부,한국국제협력단(KOICA),사업착수,2019-12-24,2026-12-31,2019-12-24,,-1940,단일 국가(National),바누아투,오세아니아 > 멜라네시아,포트빌라,환경정책 및 행정관리,관련내용이 주요(1차적) 목적인 경우,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",프로젝트 원조,2025-01-01,2025-12-31,435985000,2025-01-01,2025-12-31,435985000,1512500000,0,0,0,2019-12-24
2025,한국국제협력단(KOICA),KR-GOV-051-2021090100146,Korean International Cooperation Agency,WHO 키리바시 보건 분야 기후변화 적응력 향상 사업('21-'27/600만불),WHO Making Health Adaptation for the Future Resilient Islands - Kiribati Outer Islands for Climate Health Action,"기후변화 및 보건 프로그램의 모니터링 및 평가와 공중 보건 정책의 향상 및 제도화,국가 적응 계획 및 조사에 보건 요소를 강화하고 타라와 이외섬까지 적용 ,의료시설 향상과 필수 의료 물품 및 기술에 대한 접근성 향상 및 시설정비 , 기초 보건분야에서 기후관련 보건 위험 경감을 위한 인적 역량 강화, 기후 변화와 건강에 대한 IEC 자료와 문서화 방법 개발 및 배포","Governance capacity strengthened to support sustainable health adaptation; infrastructure resilience to climate change is increased in healthcare facilities, schools, and communities in vulnerable outer islands; health service delivery at primary health care level is resilient to climate change; communities are engaged and empowered with knowledge and tools to take adaptive actions to reduce the health risks of climate change",외교부,한국국제협력단(KOICA),사업착수,2021-01-01,2025-12-31,2021-01-01,,-1940,단일 국가(National),키리바시,오세아니아 > 미크로네시아,사우스타라와,보건정책 및 행정관리,해당사항 없음,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,해당사항 없음,관련내용이 부수적(2차적) 목적인 경우,관련내용이 부수적(2차적) 목적인 경우,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",프로젝트 원조,2025-01-01,2025-12-31,7260000000,2025-01-01,2025-12-31,6659279200,7260000000,0,600720800,0,2021-01-01
2025,한국국제협력단(KOICA),KR-GOV-051-2021090103407,Korean International Cooperation Agency,(피지) UNDP 태평양도서국 개발프로젝트 내 기후변화 적응 및 젠더 주류화 사업('19-'24/750만불),(fiji) UNDP Governance for Resilient Development in the Pacific Project,"개발사업의 기후변화 및 양성평등 주류화, 위험을 고려한 개발 추진, 기후펀드 접근성 제고",Mainstreaming of climate change and gender into development projects. Improvement in climate adaptive capacity and resilience through development. Increase in capacity and behaviour change to support risk informed development decision making. Improvements in access to climate funds.,외교부,한국국제협력단(KOICA),사업착수,2021-01-01,2027-12-31,2019-12-24,,-1940,단일 국가(National),피지,오세아니아 > 멜라네시아,수바,환경정책 및 행정관리,관련내용이 주요(1차적) 목적인 경우,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",프로젝트 원조,2025-01-01,2025-12-31,2153000000,2025-01-01,2025-12-31,2153000000,1512500000,0,0,0,2019-12-24
2025,한국국제협력단(KOICA),KR-GOV-051-2022010100076,Korean International Cooperation Agency,"피지 국립재활센터 건립사업('22-'27/1,000만불)",Project for establishment of National Rehabilitation center in Fiji,"새롭게 건축된 국립재활센터, 진단 및 치료 기능향상을 위해 구축된 의료 기자재, 향상된 병원운영 및 재활의료서비스 지원 시스템, 훈련된 재활의료 전문인력","Newly built Fiji National Rehabilitation Centre, Provided equipment to improve diagnosis and treatment functions, Improved system of hospital operation and rehabilitation medical services, Well trained rehabilitation medical staffs",외교부,한국국제협력단(KOICA),사업착수,2022-01-01,2027-12-31,2023-03-30,,-1940,단일 국가(National),피지,오세아니아 > 멜라네시아,수바,의료교육 및 훈련,해당사항 없음,관련내용이 부수적(2차적) 목적인 경우,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,관련내용이 부수적(2차적) 목적인 경우,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",프로젝트 원조,2025-01-01,2025-12-31,11300000000,2025-01-01,2025-12-31,11293787173,11300000000,0,6212827,0,2022-01-01
2025,한국국제협력단(KOICA),KR-GOV-051-2022010100126,Korean International Cooperation Agency,솔로몬군도 모자보건지원 2차사업(WHO)('22-'26/660만불),"Project for the Support to Maternal, Newborn Health Care in Solomon Islands","개보수/기자재, 정책/시스템 강화, 의료인력 역량개발, 지역사회 인식제고","Strengthen national governance to improve quality of maternal and newborn service in 5 target provinces (Honiara, Gudacanal, Western, Central and Malaita), Increase utilization of quality maternal and newborn health services in 5 target provinces (Honiara, Gudacanal, Western, Central and Malaita)",외교부,한국국제협력단(KOICA),사업착수,2022-01-01,2026-12-31,2022-12-09,,-1940,단일 국가(National),솔로몬제도,오세아니아 > 멜라네시아,호니아라,보건정책 및 행정관리,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,관련내용이 주요(1차적) 목적인 경우,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",프로젝트 원조,2025-01-01,2025-12-31,7458000000,2025-01-01,2025-12-31,5608006056,7458000000,0,1849993944,0,2022-01-01
