partner_id,alias,alias_normalized,source,confidence
P_CA788CF183,바른경제동호인회,바른경제동호인회,nonprofit_national,1.0
P_84DFE6E137,행정개혁시민연합,행정개혁시민연합,nonprofit_national,1.0
P_42113D7AB8,경제정의실천시민연합,경제정의실천시민연합,nonprofit_national,1.0
P_B48A498CE8,조세정의를위한 한국납세자연합회,조세정의를위한한국납세자연합회,nonprofit_national,1.0
P_F7342A830D,북한경제포럼,북한경제포럼,nonprofit_national,1.0
P_F2F82A1821,국제미래학회,국제미래학회,nonprofit_national,1.0
P_6E97DFF93A,사단법인 한국납세자연대,한국납세자연대,nonprofit_national,1.0
P_AC1D72C657,국가미래정책포럼,국가미래정책포럼,nonprofit_national,1.0
P_549D3E4763,한국소비자연맹,한국소비자연맹,nonprofit_national,1.0
P_3A2E82F782,소비자공익네트워크,소비자공익네트워크,nonprofit_national,1.0
P_9F759195AC,한국소비자단체협의회,한국소비자단체협의회,nonprofit_national,1.0
P_6C785AEB6F,(사)한국소비자교육원,한국소비자교육원,nonprofit_national,1.0
P_A3566ACF9A,녹색소비자연대전국협의회,녹색소비자연대전국협의회,nonprofit_national,1.0
P_E1FDC73D11,소비자시민모임,소비자시민모임,nonprofit_national,1.0
P_FB0FB27B0B,한국소비자진흥원,한국소비자진흥원,nonprofit_national,1.0
P_51C267D07C,(사)소비자와함께,소비자와함께,nonprofit_national,1.0
P_B0A0E9743C,(사)미래소비자행동,미래소비자행동,nonprofit_national,1.0
P_E1DCE25AFC,(사)공직공익비리신고 전국시민운동연합,공직공익비리신고전국시민운동연합,nonprofit_national,1.0
P_69137D25A1,신용사회만들기시민연합,신용사회만들기시민연합,nonprofit_national,1.0
P_56904F98C5,한국소액주주 연구회,한국소액주주연구회,nonprofit_national,1.0
P_E79C402BD1,KRX국민행복재단,krx국민행복재단,nonprofit_national,1.0
P_8084BAC00A,금융소비자네트워크,금융소비자네트워크,nonprofit_national,1.0
P_9257C75BE1,사단법인 5.18민주화운동 부상자회,518민주화운동부상자회,nonprofit_national,1.0
P_5306C97154,도산안창호선생기념사업회,도산안창호선생기념사업회,nonprofit_national,1.0
P_CBFB7D6A31,장준하기념사업회,장준하기념사업회,nonprofit_national,1.0
P_A65E552DCD,손정도기념사업회,손정도기념사업회,nonprofit_national,1.0
P_4E847A99D8,신흥무관학교기념사업회,신흥무관학교기념사업회,nonprofit_national,1.0
P_415803A26A,건국대통령이승만박사기념사업회,건국대통령이승만박사기념사업회,nonprofit_national,1.0
P_7FFB86A6C5,한국여성독립운동연구소,한국여성독립운동연구소,nonprofit_national,1.0
P_0C38AA4CBB,한국미래문제연구원,한국미래문제연구원,nonprofit_national,1.0
P_ED28BF9543,한국보훈복지정책연구원,한국보훈복지정책연구원,nonprofit_national,1.0
P_3A7346634A,무후광복군기념사업회,무후광복군기념사업회,nonprofit_national,1.0
P_7A9B1A75F7,대한민국현충사업회,대한민국현충사업회,nonprofit_national,1.0
P_0A0FD1796A,나라사랑디딤돌,나라사랑디딤돌,nonprofit_national,1.0
P_9B98772873,(사)한국해양환경안전협회,한국해양환경안전협회,nonprofit_national,1.0
P_667616F082,(사)한국해양소년단연맹,한국해양소년단연맹,nonprofit_national,1.0
P_49D018DBEF,(사)한국수산업경영인중앙연합회,한국수산업경영인중앙연합회,nonprofit_national,1.0
P_560FC99FF7,(사)바다살리기국민운동본부,바다살리기국민운동본부,nonprofit_national,1.0
P_813D9EAA3A,(사)해양보호 국민연대,해양보호국민연대,nonprofit_national,1.0
P_B8B1B5A88C,(사)대한민국해양연맹,대한민국해양연맹,nonprofit_national,1.0
P_FBFF51F0B1,독도수호대,독도수호대,nonprofit_national,1.0
P_827FA3723F,(사)한국수중환경안전협회,한국수중환경안전협회,nonprofit_national,1.0
P_98BD2AF252,(사)지구환경해양보호연대,지구환경해양보호연대,nonprofit_national,1.0
P_614C21B780,Korea 독도녹색운동연합,korea독도녹색운동연합,nonprofit_national,1.0
P_A293597015,독도유인화국민운동본부,독도유인화국민운동본부,nonprofit_national,1.0
P_3FB14FA9A6,한국수중사진영상협회,한국수중사진영상협회,nonprofit_national,1.0
P_6A73E390BA,해양조사발전협의회,해양조사발전협의회,nonprofit_national,1.0
P_6FC7CBF7ED,나라(독도)살리기국민운동본부,나라독도살리기국민운동본부,nonprofit_national,1.0
P_23A51AA23E,독도최종덕기념사업회,독도최종덕기념사업회,nonprofit_national,1.0
P_4E3DCDDB94,(사)한국물사랑연합,한국물사랑연합,nonprofit_national,1.0
