partner_id,capability_tag,score,evidence_count,last_evidence_year,evidence_keywords,evidence_summary
P_53D670AF9B,capacity_building_training,100.0,176,2028,"capacity, 인식제고, 교육, training, 역량강화, capacity building, awareness, 훈련, 연수","[koica_iati] 피지 기후변화 대응 보건역량 강화사업(WHO)('19-'26/641만불) Strengthening Health Adaptation Project : Responding to Climate Change in Fiji (SHAPE) 기후변화와 보건분야의 인력, 진단 및 관련 시설 강화, 기후변화보건분야 감시체계 강화, 기후변화보건에 대한 거버넌스와 지역사회 대응역량 강화 Strengthened capacity of health workforce, laborator… | [koica_iati] WHO 키리바시 보건 분야 기후변화 적응력 향상 사업('21-'27/600만불) WHO Making Health Adaptation for the Future Resilient Islands - Kiribati Outer Islands for Climate Health Action 기후변화 및 보건 프로그램의 모니터링 및 평가와 공중 보건 정책의 향상 및 제도화,국가 적응 계획 및 조사에 보건 요소를 강화하고 타라와 이외섬까지 적용 ,의료시설 향상과 필수 의료… | [koica_iati] 솔로몬군도 모자보건지원 2차사업(WHO)('22-'26/660만불) Project for the Support to Maternal, Newborn Health Care in Solomon Islands 개보수/기자재, 정책/시스템 강화, 의료인력 역량개발, 지역사회 인식제고 Strengthen national governance to improve quality of maternal and newborn service in 5 target provinces … | [koica_iati] 네팔 Province4 직업교육학교 건립사업('24-'30/900만불) Infrastructure Development of Gandaki Institute of Technology(GIT) under the Gandaki Technical Education and Vocational Training Academy 기술교육원 건립, 기술교육 제도 구축 지원, 교사역량 강화,를 통한 청년 취업률 제고 및 기술교육 Establish well equipped pol…"
P_53D670AF9B,education_youth,100.0,157,2028,"school, 교육, 학교, 청소년, 아동, child, children, literacy, 문해, student, 학생, youth, curriculum, 교재","[koica_iati] WHO 키리바시 보건 분야 기후변화 적응력 향상 사업('21-'27/600만불) WHO Making Health Adaptation for the Future Resilient Islands - Kiribati Outer Islands for Climate Health Action 기후변화 및 보건 프로그램의 모니터링 및 평가와 공중 보건 정책의 향상 및 제도화,국가 적응 계획 및 조사에 보건 요소를 강화하고 타라와 이외섬까지 적용 ,의료시설 향상과 필수 의료… | [koica_iati] 네팔 Province4 직업교육학교 건립사업('24-'30/900만불) Infrastructure Development of Gandaki Institute of Technology(GIT) under the Gandaki Technical Education and Vocational Training Academy 기술교육원 건립, 기술교육 제도 구축 지원, 교사역량 강화,를 통한 청년 취업률 제고 및 기술교육 Establish well equipped pol… | [koica_iati] 필리핀 지역사회 기반 보건 서비스 전달 체계 강화 사업 (WHO)('20-'25/700만불) Linking Service Delivery Networks to Communities for a Healthy Transformation (LINK) 기초보건 서비스 역량 진단 툴 및 지역별 현황 데이터, 보건 서비스 향상을 위한 각종 툴킷 및 매뉴얼, 분야별 교육을 수료한 지방정부 인력, PhilHealth 인증을 득한 지역 기초보건 시설, 커뮤니티 기반의 서비스전… | [koica_iati] 필리핀 남부레이테 및 사마르 주 청소년 성생식 보건 개선사업 (UNFPA-UNICEF-WHO)('22-'26/650만불) Accelerating the Reduction of Adolescent Pregnancyin Southern Leyte and Samar in the Philippines 청소년 임신율 감소를 위한 성과 생식 정보 접근성 강화 및 향상된 관리 시스템을 통한 청소년의 건강한 삶과 안정적인 성인기로의 전환을 지원 Strengthened ser…"
P_53D670AF9B,GIS_remote_sensing,100.0,68,2026,"데이터, gis, ict, data","[koica_iati] 필리핀 지역사회 기반 보건 서비스 전달 체계 강화 사업 (WHO)('20-'25/700만불) Linking Service Delivery Networks to Communities for a Healthy Transformation (LINK) 기초보건 서비스 역량 진단 툴 및 지역별 현황 데이터, 보건 서비스 향상을 위한 각종 툴킷 및 매뉴얼, 분야별 교육을 수료한 지방정부 인력, PhilHealth 인증을 득한 지역 기초보건 시설, 커뮤니티 기반의 서비스전… | [koica_iati] 베트남 폭력피해 여성/여아 예방 및 보호모델 강화사업(UNFPA)('23-'27/500만불) Enhancing support for service delivery to women and girls subjected to violence in Viet Nam 젠더기반폭력(GBV:gender-based violence) 에 노출된 여성과 소녀들을 위한 지원 서비스를 제공하기 위한 원스톱 서비스센터(OSSO) 설립, 디지털 기반. 혁신적인 BCC(behavioura… | [koica_iati] 우간다 동부 부소가 지역 성생식모자청소년보건 서비스 개선을 위한 보건시스템 강화 사업 (WHO)('20-'25/900만불) Health System Strengthening for Improving Integrated Service Delivery in Busoga Sub-region, Uganda 응급환자 후송시스템 구축, RMNACH 서비스 제공을 위한 기초 인프라 구축, 보건의료 인력 역량강화를 통하여 동부 부소가 5개 주 의료시스템 강화. Support… | [koica_iati] 가나 북부 봉고 지역 커뮤니티 수요기반 직업훈련을 통한 취약계층 여성 소득 증대 사업('23-'25/1,494백만원) Ghana Bongo district vulnerable women income generating project through community needs based vocational training 봉고 내 직업훈련시설의 부족, 높은 직업훈련 수업료, 장기 무보수 견습 시스템, 여성들의 높은 가사부담으로 인해 여성들의 직업기술 훈련 기회가…"
P_53D670AF9B,construction_infrastructure,100.0,60,2028,"시설, infrastructure, building, 센터, 인프라, facility, 설계","[koica_iati] 피지 기후변화 대응 보건역량 강화사업(WHO)('19-'26/641만불) Strengthening Health Adaptation Project : Responding to Climate Change in Fiji (SHAPE) 기후변화와 보건분야의 인력, 진단 및 관련 시설 강화, 기후변화보건분야 감시체계 강화, 기후변화보건에 대한 거버넌스와 지역사회 대응역량 강화 Strengthened capacity of health workforce, laborator… | [koica_iati] WHO 키리바시 보건 분야 기후변화 적응력 향상 사업('21-'27/600만불) WHO Making Health Adaptation for the Future Resilient Islands - Kiribati Outer Islands for Climate Health Action 기후변화 및 보건 프로그램의 모니터링 및 평가와 공중 보건 정책의 향상 및 제도화,국가 적응 계획 및 조사에 보건 요소를 강화하고 타라와 이외섬까지 적용 ,의료시설 향상과 필수 의료… | [koica_iati] 네팔 Province4 직업교육학교 건립사업('24-'30/900만불) Infrastructure Development of Gandaki Institute of Technology(GIT) under the Gandaki Technical Education and Vocational Training Academy 기술교육원 건립, 기술교육 제도 구축 지원, 교사역량 강화,를 통한 청년 취업률 제고 및 기술교육 Establish well equipped pol… | [koica_iati] 필리핀 지역사회 기반 보건 서비스 전달 체계 강화 사업 (WHO)('20-'25/700만불) Linking Service Delivery Networks to Communities for a Healthy Transformation (LINK) 기초보건 서비스 역량 진단 툴 및 지역별 현황 데이터, 보건 서비스 향상을 위한 각종 툴킷 및 매뉴얼, 분야별 교육을 수료한 지방정부 인력, PhilHealth 인증을 득한 지역 기초보건 시설, 커뮤니티 기반의 서비스전…"
P_53D670AF9B,health_wash_humanitarian,100.0,33,2026,"보건, health, 재난, 위생, sanitation, water, 식수, humanitarian","[koica_iati] 피지 기후변화 대응 보건역량 강화사업(WHO)('19-'26/641만불) Strengthening Health Adaptation Project : Responding to Climate Change in Fiji (SHAPE) 기후변화와 보건분야의 인력, 진단 및 관련 시설 강화, 기후변화보건분야 감시체계 강화, 기후변화보건에 대한 거버넌스와 지역사회 대응역량 강화 Strengthened capacity of health workforce, laborator… | [koica_iati] WHO 키리바시 보건 분야 기후변화 적응력 향상 사업('21-'27/600만불) WHO Making Health Adaptation for the Future Resilient Islands - Kiribati Outer Islands for Climate Health Action 기후변화 및 보건 프로그램의 모니터링 및 평가와 공중 보건 정책의 향상 및 제도화,국가 적응 계획 및 조사에 보건 요소를 강화하고 타라와 이외섬까지 적용 ,의료시설 향상과 필수 의료… | [koica_iati] 솔로몬군도 모자보건지원 2차사업(WHO)('22-'26/660만불) Project for the Support to Maternal, Newborn Health Care in Solomon Islands 개보수/기자재, 정책/시스템 강화, 의료인력 역량개발, 지역사회 인식제고 Strengthen national governance to improve quality of maternal and newborn service in 5 target provinces … | [koica_iati] 필리핀 지역사회 기반 보건 서비스 전달 체계 강화 사업 (WHO)('20-'25/700만불) Linking Service Delivery Networks to Communities for a Healthy Transformation (LINK) 기초보건 서비스 역량 진단 툴 및 지역별 현황 데이터, 보건 서비스 향상을 위한 각종 툴킷 및 매뉴얼, 분야별 교육을 수료한 지방정부 인력, PhilHealth 인증을 득한 지역 기초보건 시설, 커뮤니티 기반의 서비스전…"
P_53D670AF9B,project_design_policy_research,100.0,31,2026,"조사, 매뉴얼, 전략, master plan, 정책 연구","[koica_iati] WHO 키리바시 보건 분야 기후변화 적응력 향상 사업('21-'27/600만불) WHO Making Health Adaptation for the Future Resilient Islands - Kiribati Outer Islands for Climate Health Action 기후변화 및 보건 프로그램의 모니터링 및 평가와 공중 보건 정책의 향상 및 제도화,국가 적응 계획 및 조사에 보건 요소를 강화하고 타라와 이외섬까지 적용 ,의료시설 향상과 필수 의료… | [koica_iati] 필리핀 지역사회 기반 보건 서비스 전달 체계 강화 사업 (WHO)('20-'25/700만불) Linking Service Delivery Networks to Communities for a Healthy Transformation (LINK) 기초보건 서비스 역량 진단 툴 및 지역별 현황 데이터, 보건 서비스 향상을 위한 각종 툴킷 및 매뉴얼, 분야별 교육을 수료한 지방정부 인력, PhilHealth 인증을 득한 지역 기초보건 시설, 커뮤니티 기반의 서비스전… | [koica_iati] DR콩고 카사이성트랄 주 만성영양실조 예방 사업(WFP, UNICEF)('22-'26/800만불) Prevention of Stunting in Kasai Central Province of Democratic Republic of the Congo 특별영양식 공급을 통해 6-23개월 아동과 임신 및 수유기 여성의 최소 식단 기준을 충족시키고 영양상태 개선 , 사업대상지 맥락에 맞는 사회행동변화커뮤니케이션 전략 수립 및 모자영양 교육, 커뮤니티 가든 조성을 통… | [koica_iati] 석사학위-디지털혁신(2)(2024) Master's Degree Program in Digital Innovation(2) (2024) 과학기술혁신 기반 개도국 미래 성장 동력 확보를 위해 디지털 혁신 분야 핵심 연구인력을 양성하고, 디지털 분야의 체계적 교육을 통해 디지털 격차 완화 및 관련 분야 산업 육성을 촉진하기 위한 연수과정 제공 Provide Master's degree program to cultivate digital transformation …"
P_263B1741AE,capacity_building_training,100.0,30,2028,"capacity, 역량강화, 교육, 훈련, awareness, training, 인식제고, capacity building, workshop","[koica_iati] (키리바시) UNDP 태평양도서국 개발프로젝트 내 기후변화 적응 및 젠더 주류화 사업('19-'24/750만불) (Kiribati) UNDP Governance for Resilient Development in the Pacific Project 개발사업의 기후변화 및 양성평등 주류화, 위험을 고려한 개발 추진, 기후펀드 접근성 제고 Mainstreaming of climate change and gender into development projects. … | [koica_iati] (마샬군도) UNDP 태평양도서국 개발프로젝트 내 기후변화 적응 및 젠더 주류화 사업('19-'24/750만불) (Marshall Is.) UNDP Governance for Resilient Development in the Pacific Project 개발사업의 기후변화 및 양성평등 주류화, 위험을 고려한 개발 추진, 기후펀드 접근성 제고 Mainstreaming of climate change and gender into development projec… | [koica_iati] (솔로몬군도) UNDP 태평양도서국 개발프로젝트 내 기후변화 적응 및 젠더 주류화 사업('19-'24/750만불) (Solomon Is.) UNDP Governance for Resilient Development in the Pacific Project 개발사업의 기후변화 및 양성평등 주류화, 위험을 고려한 개발 추진, 기후펀드 접근성 제고 Mainstreaming of climate change and gender into development projec… | [koica_iati] (투발루) UNDP 태평양도서국 개발프로젝트 내 기후변화 적응 및 젠더 주류화 사업('19-'24/750만불) (Tuvalu) UNDP Governance for Resilient Development in the Pacific Project 개발사업의 기후변화 및 양성평등 주류화, 위험을 고려한 개발 추진, 기후펀드 접근성 제고 Mainstreaming of climate change and gender into development projects. Imp…"
P_D9CA93FB64,education_youth,100.0,29,2029,"교육, 학교, 청소년, school, 아동, child, children, youth, student, 문해","[koica_iati] 방글라데시 시장수요 기반 직업기술훈련을 통한 학교 밖 여자청소년 역량강화사업(UNICEF)('22-'26/600만불) KOICA-UNICEF Empowering adolescent girls and young women with market driven occupational & transferable skills and job placement in Bangladesh 여성 청소년 및 취약계층 여성 12,500명에게 직업 기술역량 교육훈련 제공하고 취업 및 … | [koica_iati] (분쟁취약) 파푸아뉴기니 모로베주 통합적 식수위생 접근을 통한 평화 구축사업(UNICEF)('23-'26/400만불) Conflict-sensitive, Climate-resilient and Child-friendly WASH as a Catalyst for Peace for Children in Papua New Guinea 분쟁 및 기후변화 영향에 대한 아동 식수위생 복원력 증진을 위해 아동보호 및 교육 분야와의 통합적 식수위생 접근을 이행함으로써 파푸아… | [koica_iati] (분쟁취약) (짐바브웨) 아프리카 권역 기후취약지역 아동 사회서비스 접근성 개선 사업(UNICEF)('24-'27/1,000만불) Climate Action for the Last Mile: Reaching the most Vulnerable Children 1. 기후스마트 사회서비스 제공 2. 아동친화적 기후 정책 및 제도적 역량 구축 1. Increased climate resilience for children and their communities th… | [koica_iati] (분쟁취약) (코모로) 아프리카 권역 기후취약지역 아동 사회서비스 접근성 개선 사업(UNICEF)('24-'27/1,000만불) Climate Action for the Last Mile: Reaching the most Vulnerable Children 1. 기후스마트 사회서비스 제공 2. 아동친화적 기후 정책 및 제도적 역량 구축 1. Increased climate resilience for children and their communities thr…"
P_D9CA93FB64,capacity_building_training,100.0,26,2029,"역량강화, 교육, training, 훈련, awareness, capacity, capacity building, 연수, 교육프로그램, 인식제고","[koica_iati] 방글라데시 시장수요 기반 직업기술훈련을 통한 학교 밖 여자청소년 역량강화사업(UNICEF)('22-'26/600만불) KOICA-UNICEF Empowering adolescent girls and young women with market driven occupational & transferable skills and job placement in Bangladesh 여성 청소년 및 취약계층 여성 12,500명에게 직업 기술역량 교육훈련 제공하고 취업 및 … | [koica_iati] (분쟁취약) 파푸아뉴기니 모로베주 통합적 식수위생 접근을 통한 평화 구축사업(UNICEF)('23-'26/400만불) Conflict-sensitive, Climate-resilient and Child-friendly WASH as a Catalyst for Peace for Children in Papua New Guinea 분쟁 및 기후변화 영향에 대한 아동 식수위생 복원력 증진을 위해 아동보호 및 교육 분야와의 통합적 식수위생 접근을 이행함으로써 파푸아… | [koica_iati] (분쟁취약) (짐바브웨) 아프리카 권역 기후취약지역 아동 사회서비스 접근성 개선 사업(UNICEF)('24-'27/1,000만불) Climate Action for the Last Mile: Reaching the most Vulnerable Children 1. 기후스마트 사회서비스 제공 2. 아동친화적 기후 정책 및 제도적 역량 구축 1. Increased climate resilience for children and their communities th… | [koica_iati] (분쟁취약) (코모로) 아프리카 권역 기후취약지역 아동 사회서비스 접근성 개선 사업(UNICEF)('24-'27/1,000만불) Climate Action for the Last Mile: Reaching the most Vulnerable Children 1. 기후스마트 사회서비스 제공 2. 아동친화적 기후 정책 및 제도적 역량 구축 1. Increased climate resilience for children and their communities thr…"
P_53D670AF9B,aquaculture_livelihood,100.0,23,2028,"community, livelihood, 커뮤니티, 양식, 소득, income, 농업, agriculture","[koica_iati] 피지 기후변화 대응 보건역량 강화사업(WHO)('19-'26/641만불) Strengthening Health Adaptation Project : Responding to Climate Change in Fiji (SHAPE) 기후변화와 보건분야의 인력, 진단 및 관련 시설 강화, 기후변화보건분야 감시체계 강화, 기후변화보건에 대한 거버넌스와 지역사회 대응역량 강화 Strengthened capacity of health workforce, laborator… | [koica_iati] 네팔 Province4 직업교육학교 건립사업('24-'30/900만불) Infrastructure Development of Gandaki Institute of Technology(GIT) under the Gandaki Technical Education and Vocational Training Academy 기술교육원 건립, 기술교육 제도 구축 지원, 교사역량 강화,를 통한 청년 취업률 제고 및 기술교육 Establish well equipped pol… | [koica_iati] 필리핀 지역사회 기반 보건 서비스 전달 체계 강화 사업 (WHO)('20-'25/700만불) Linking Service Delivery Networks to Communities for a Healthy Transformation (LINK) 기초보건 서비스 역량 진단 툴 및 지역별 현황 데이터, 보건 서비스 향상을 위한 각종 툴킷 및 매뉴얼, 분야별 교육을 수료한 지방정부 인력, PhilHealth 인증을 득한 지역 기초보건 시설, 커뮤니티 기반의 서비스전… | [koica_iati] 베트남 폭력피해 여성/여아 예방 및 보호모델 강화사업(UNFPA)('23-'27/500만불) Enhancing support for service delivery to women and girls subjected to violence in Viet Nam 젠더기반폭력(GBV:gender-based violence) 에 노출된 여성과 소녀들을 위한 지원 서비스를 제공하기 위한 원스톱 서비스센터(OSSO) 설립, 디지털 기반. 혁신적인 BCC(behavioura…"
