partner_id,canonical_name_ko,canonical_name_en,org_type,legal_type,registration_status,source_count,project_count,capability_count,top_capabilities,top_capability_scores,first_seen_source
P_53D670AF9B,WHO,World Health Organization,multilateral,international_organization,unverified,1,201,10,"capacity_building_training, procurement_equipment, education_youth, GIS_remote_sensing, construction_infrastructure",capacity_building_training(100.0) / procurement_equipment(100.0) / education_youth(100.0),koica_iati
P_263B1741AE,UNDP,United Nations Development Programme,multilateral,international_organization,unverified,1,38,10,"ODA_PMC, project_design_policy_research, health_wash_humanitarian, GIS_remote_sensing, capacity_building_training",ODA_PMC(100.0) / project_design_policy_research(100.0) / health_wash_humanitarian(100.0),koica_iati
P_D9CA93FB64,UNICEF,United Nations Children's Fund,multilateral,international_organization,unverified,1,31,10,"GIS_remote_sensing, education_youth, capacity_building_training, health_wash_humanitarian, aquaculture_livelihood",GIS_remote_sensing(100.0) / education_youth(100.0) / capacity_building_training(100.0),koica_iati
P_F938B8921D,UNFPA,United Nations Population Fund,multilateral,international_organization,unverified,1,25,8,"construction_infrastructure, aquaculture_livelihood, health_wash_humanitarian, GIS_remote_sensing, education_youth",construction_infrastructure(100.0) / aquaculture_livelihood(100.0) / health_wash_humanitarian(100.0),koica_iati
P_109503A85E,WFP,World Food Programme,multilateral,international_organization,unverified,1,20,10,"GIS_remote_sensing, forestry_restoration, procurement_equipment, education_youth, capacity_building_training",GIS_remote_sensing(100.0) / forestry_restoration(100.0) / procurement_equipment(100.0),koica_iati
P_85DF6983E2,IOM,International Organization for Migration,multilateral,international_organization,unverified,1,19,9,"construction_infrastructure, capacity_building_training, aquaculture_livelihood, GIS_remote_sensing, health_wash_humanitarian",construction_infrastructure(100.0) / capacity_building_training(100.0) / aquaculture_livelihood(100.0),koica_iati
P_11A8B6F6D8,GGGI,Global Green Growth Institute,international_organization,international_organization,unverified,1,12,8,"capacity_building_training, construction_infrastructure, forestry_restoration, project_design_policy_research, aquaculture_livelihood",capacity_building_training(100.0) / construction_infrastructure(100.0) / forestry_restoration(100.0),koica_iati
P_057457DAE3,사회복지법인 굿네이버스,,domestic_nonprofit,,registry_verified,2,6,5,"health_wash_humanitarian, aquaculture_livelihood, GIS_remote_sensing, construction_infrastructure, education_youth",health_wash_humanitarian(100.0) / aquaculture_livelihood(100.0) / GIS_remote_sensing(77.0),nonprofit_national
P_C30786ABE2,UNESCO,"United Nations Educational, Scientific and Cultural Organization",multilateral,international_organization,unverified,1,6,8,"capacity_building_training, construction_infrastructure, education_youth, procurement_equipment, aquaculture_livelihood",capacity_building_training(100.0) / construction_infrastructure(100.0) / education_youth(97.0),koica_iati
P_F2D5E6A073,사회복지법인월드비전,,domestic_nonprofit,사회복지법인,registry_verified,2,5,6,"health_wash_humanitarian, GIS_remote_sensing, education_youth, capacity_building_training, construction_infrastructure",health_wash_humanitarian(87.4) / GIS_remote_sensing(62.0) / education_youth(60.2),nonprofit_national
P_2AF26BD7B9,사회복지법인 세이브더칠드런코리아,,domestic_nonprofit,,registry_verified,2,3,5,"education_youth, construction_infrastructure, GIS_remote_sensing, capacity_building_training, health_wash_humanitarian",education_youth(100.0) / construction_infrastructure(76.8) / GIS_remote_sensing(63.0),nonprofit_national
P_891B5F0590,사회복지법인 어린이재단,,domestic_nonprofit,,registry_verified,2,2,4,"health_wash_humanitarian, education_youth, aquaculture_livelihood, construction_infrastructure",health_wash_humanitarian(100.0) / education_youth(53.8) / aquaculture_livelihood(47.4),nonprofit_national
P_AE908E52FC,FAO,Food and Agriculture Organization,multilateral,international_organization,unverified,1,2,7,"forestry_restoration, aquaculture_livelihood, health_wash_humanitarian, capacity_building_training, procurement_equipment",forestry_restoration(99.0) / aquaculture_livelihood(94.0) / health_wash_humanitarian(67.0),koica_iati
P_6C851E299E,UN-HABITAT,United Nations Human Settlements Programme,multilateral,international_organization,unverified,1,2,5,"health_wash_humanitarian, construction_infrastructure, aquaculture_livelihood, capacity_building_training, ODA_PMC",health_wash_humanitarian(100.0) / construction_infrastructure(78.0) / aquaculture_livelihood(74.0),koica_iati
P_05EAB284EE,기아대책기구,,domestic_oda_implementer,,unverified,1,2,2,"health_wash_humanitarian, construction_infrastructure",health_wash_humanitarian(61.0) / construction_infrastructure(61.0),koica_humanitarian
P_EF7A7BE01C,밀알복지재단,,domestic_oda_implementer,,unverified,1,2,3,"construction_infrastructure, aquaculture_livelihood, education_youth",construction_infrastructure(78.0) / aquaculture_livelihood(78.0) / education_youth(63.0),koica_humanitarian
P_B3858DB20C,세이브더칠드런,,domestic_oda_implementer,,unverified,1,2,3,"aquaculture_livelihood, education_youth, GIS_remote_sensing",aquaculture_livelihood(77.0) / education_youth(74.0) / GIS_remote_sensing(61.0),koica_humanitarian
P_40C29E9923,한국기아대책기구,,domestic_oda_implementer,,unverified,1,2,3,"health_wash_humanitarian, aquaculture_livelihood, GIS_remote_sensing",health_wash_humanitarian(74.0) / aquaculture_livelihood(63.0) / GIS_remote_sensing(62.0),koica_humanitarian
P_7C96D4D49E,굿피플인터내셔널,,domestic_nonprofit,사단법인,registry_verified,2,1,3,"education_youth, construction_infrastructure, aquaculture_livelihood",education_youth(75.6) / construction_infrastructure(63.0) / aquaculture_livelihood(63.0),nonprofit_national
P_5640A08C28,팀앤팀,,domestic_nonprofit,사단법인,registry_verified,2,1,3,"health_wash_humanitarian, education_youth, capacity_building_training",health_wash_humanitarian(97.6) / education_youth(85.6) / capacity_building_training(73.6),nonprofit_national
P_BC5E3DD6A9,플랜한국위원회,,domestic_nonprofit,재단법인,registry_verified,2,1,3,"aquaculture_livelihood, GIS_remote_sensing, education_youth",aquaculture_livelihood(75.0) / GIS_remote_sensing(63.0) / education_youth(50.6),nonprofit_national
P_1B791C91A1,한국국제기아대책기구,,domestic_nonprofit,사단법인,registry_verified,2,1,3,"health_wash_humanitarian, education_youth, capacity_building_training",health_wash_humanitarian(47.4) / education_youth(47.4) / capacity_building_training(47.4),nonprofit_national
P_2ED36205B3,더멋진세상,,domestic_oda_implementer,,unverified,1,1,1,health_wash_humanitarian,health_wash_humanitarian(100.0),koica_humanitarian
P_FFEC9BC04D,아디,,domestic_oda_implementer,,unverified,1,1,3,"capacity_building_training, construction_infrastructure, health_wash_humanitarian",capacity_building_training(61.0) / construction_infrastructure(61.0) / health_wash_humanitarian(61.0),koica_humanitarian
P_22BA62DA50,옥스팜,,domestic_oda_implementer,,unverified,1,1,2,"health_wash_humanitarian, GIS_remote_sensing",health_wash_humanitarian(63.0) / GIS_remote_sensing(63.0),koica_humanitarian
P_E64DB47A8D,지구촌나눔운동,,domestic_oda_implementer,,unverified,1,1,1,health_wash_humanitarian,health_wash_humanitarian(75.0),koica_humanitarian
P_16C011F16A,초록우산 어린이재단,,domestic_oda_implementer,,unverified,1,1,5,"aquaculture_livelihood, health_wash_humanitarian, GIS_remote_sensing, education_youth, capacity_building_training",aquaculture_livelihood(99.0) / health_wash_humanitarian(75.0) / GIS_remote_sensing(63.0),koica_humanitarian
P_21FB32533D,(사)6.25국군포로유족회,,domestic_nonprofit,사단법인,registry_verified,1,0,0,,,nonprofit_national
P_05C7DFC4F4,(사)GK전략연구원,,domestic_nonprofit,사단법인,registry_verified,1,0,1,project_design_policy_research,project_design_policy_research(47.4),nonprofit_national
P_E1DCE25AFC,(사)공직공익비리신고 전국시민운동연합,,domestic_nonprofit,사단법인,registry_verified,1,0,2,"capacity_building_training, education_youth",capacity_building_training(52.4) / education_youth(52.4),nonprofit_national
P_0126CE18AD,(사)국가유공자환경운동본부,,domestic_nonprofit,사단법인,registry_verified,1,0,1,forestry_restoration,forestry_restoration(50.6),nonprofit_national
P_C4CCD5BBCA,(사)국방국악문화진흥회,,domestic_nonprofit,사단법인,registry_verified,1,0,0,,,nonprofit_national
P_8BA409CC57,(사)국방안보포럼,,domestic_nonprofit,사단법인,registry_verified,1,0,0,,,nonprofit_national
P_1286B41C34,(사)국세동우회 자원봉사단,,domestic_nonprofit,사단법인,registry_verified,1,0,0,,,nonprofit_national
P_EF83A3B52B,(사)국제슬로푸드한국협회,,domestic_nonprofit,사단법인,registry_verified,1,0,0,,,nonprofit_national
P_223B4247A8,(사)국제청년환경연합회,,domestic_nonprofit,사단법인,registry_verified,1,0,5,"education_youth, capacity_building_training, health_wash_humanitarian, forestry_restoration, aquaculture_livelihood",education_youth(60.2) / capacity_building_training(50.6) / health_wash_humanitarian(50.6),nonprofit_national
P_83F87B8EF6,(사)국제청소년영상예술진흥원,,domestic_nonprofit,사단법인,registry_verified,1,0,1,education_youth,education_youth(47.4),nonprofit_national
P_71983D0530,(사)국제푸른나무,,domestic_nonprofit,사단법인,registry_verified,1,0,1,health_wash_humanitarian,health_wash_humanitarian(47.4),nonprofit_national
P_090C59EB46,(사)국토하천보호국민운동본부,,domestic_nonprofit,,registry_verified,1,0,2,"project_design_policy_research, forestry_restoration",project_design_policy_research(50.6) / forestry_restoration(50.6),nonprofit_national
P_12CAD9E7B9,(사)그린환경운동본부,,domestic_nonprofit,사단법인,registry_verified,1,0,3,"capacity_building_training, forestry_restoration, education_youth",capacity_building_training(60.2) / forestry_restoration(50.6) / education_youth(50.6),nonprofit_national
P_FEF611D14B,(사)꿈이 있는 세상,,domestic_nonprofit,사단법인,registry_verified,1,0,4,"capacity_building_training, construction_infrastructure, education_youth, project_design_policy_research",capacity_building_training(53.4) / construction_infrastructure(53.4) / education_youth(53.4),nonprofit_national
P_BAE1300756,(사)남북경제연구원,,domestic_nonprofit,사단법인,registry_verified,1,0,2,"capacity_building_training, education_youth",capacity_building_training(52.4) / education_youth(52.4),nonprofit_national
P_C0C3AAD6A1,(사)남북문화교류협회,,domestic_nonprofit,,registry_verified,1,0,0,,,nonprofit_national
P_8282F5B408,(사)남북물류포럼,,domestic_nonprofit,,registry_verified,1,0,1,project_design_policy_research,project_design_policy_research(52.4),nonprofit_national
P_8D60169F75,(사)남북역사문화교류협회,,domestic_nonprofit,,registry_verified,1,0,0,,,nonprofit_national
P_FA3F0E99E5,(사)녹색성장국민연합,,domestic_nonprofit,사단법인,registry_verified,1,0,4,"project_design_policy_research, forestry_restoration, education_youth, capacity_building_training",project_design_policy_research(60.2) / forestry_restoration(50.6) / education_youth(50.6),nonprofit_national
